Iteration	Posterior	Likelihood	Prior	beta_scale	matrix_probs[1]	matrix_probs[2]	matrix_probs[3]	matrix_probs[4]	rate_log_sd	tree_length
0	-1542.637	-1901.585	358.9479	0.4387445	0.697895	0.191265	0.0966914	0.0141485	1.807426	0.6920954
6	-1540.156	-1899.186	359.0305	0.4200499	0.754446	0.183792	0.0481671	0.0135957	1.627215	0.8550705
12	-1554.145	-1913.048	358.9027	0.3439603	0.589783	0.369514	0.0213321	0.0193717	1.217983	1.400027
18	-1539.74	-1898.665	358.9249	0.324986	0.472984	0.496305	0.0171076	0.0136032	1.544994	1.119459
24	-1544.297	-1903.049	358.7521	0.4294708	0.59937	0.352453	0.0309393	0.0172382	1.388911	1.330148
30	-1543.196	-1901.997	358.8012	0.5147687	0.714947	0.227585	0.0369053	0.0205622	1.404937	1.208633
36	-1543.629	-1902.631	359.0018	0.3860801	0.673074	0.273502	0.0343089	0.0191156	1.622283	0.9262578
42	-1535.99	-1894.928	358.938	0.5089481	0.645443	0.308118	0.0274769	0.0189626	1.54864	0.951982
48	-1534.711	-1893.813	359.1025	0.4913443	0.6781	0.258444	0.0421962	0.0212601	1.440177	0.9103514
54	-1522.443	-1881.311	358.8683	0.7172943	0.737868	0.187963	0.051404	0.0227653	1.341885	1.011603
60	-1518.853	-1877.489	358.6362	0.5962318	0.829773	0.0994458	0.0578066	0.0129746	1.327874	1.338773
66	-1506.719	-1865.488	358.7697	0.433151	0.681969	0.292062	0.015305	0.0106635	1.40719	1.298473
72	-1509.048	-1867.795	358.7476	0.5412003	0.691385	0.287536	0.00769302	0.0133863	1.574277	1.081967
78	-1524.908	-1883.833	358.9251	0.3018633	0.623127	0.319893	0.0223702	0.0346098	1.534526	1.139176
84	-1532.282	-1891.02	358.7378	0.4235907	0.677989	0.238428	0.0704736	0.0131092	1.562151	1.203127
90	-1540.12	-1899.029	358.9085	0.4235907	0.643264	0.279448	0.0651664	0.012122	1.606486	1.006315
96	-1541.127	-1900.051	358.9238	0.4293316	0.712729	0.212381	0.0705377	0.00435247	1.515516	1.074166
102	-1546.799	-1905.598	358.7988	0.5610591	0.729102	0.244956	0.0241425	0.00179918	1.355113	1.212775
108	-1531.308	-1890.052	358.7447	0.5582713	0.766405	0.207717	0.0253778	0.000499952	1.41206	1.212775
114	-1534.615	-1893.4	358.7849	0.6024707	0.851292	0.0947562	0.0533969	0.000555326	1.524892	1.032971
120	-1540.687	-1899.502	358.8141	0.6024707	0.876466	0.0909723	0.0310941	0.00146771	1.48559	1.042736
126	-1537.914	-1897.018	359.1039	0.519608	0.806275	0.0763	0.107813	0.00961208	1.349396	0.9754679
132	-1537.369	-1896.299	358.9301	0.5098491	0.775389	0.0846067	0.134473	0.0055317	1.60127	0.9024465
138	-1542.471	-1901.376	358.9049	0.5307578	0.807188	0.091746	0.0938999	0.00716571	1.487823	1.024716
144	-1547.178	-1906.248	359.0692	0.5652287	0.846233	0.118467	0.0343779	0.000921668	1.453925	0.8457961
150	-1542.302	-1901.356	359.0542	0.5066349	0.846174	0.118459	0.0343755	0.000991441	1.512162	0.86584
156	-1539.234	-1898.091	358.8573	0.5996511	0.779716	0.169657	0.0492328	0.00139396	1.534447	0.9534351
162	-1528.649	-1887.597	358.9488	0.5068935	0.773286	0.179757	0.0456639	0.00129291	1.50286	0.9901005
168	-1541.019	-1899.86	358.8408	0.5090812	0.773293	0.163668	0.0625856	0.000453009	1.383458	1.197989
174	-1534.271	-1893.138	358.8673	0.5683747	0.793036	0.142316	0.0641835	0.000464575	1.555507	0.9550565
180	-1538.052	-1896.889	358.8372	0.5211879	0.846535	0.125896	0.0237248	0.00384441	1.4448	1.136842
186	-1538.282	-1896.966	358.6839	0.5211879	0.677901	0.223049	0.0915447	0.00750529	1.316812	1.37116
192	-1541.474	-1900.234	358.7593	0.5993059	0.805412	0.175417	0.0187597	0.000411742	1.400752	1.173148
198	-1529.884	-1888.868	358.9838	0.4348139	0.671902	0.318784	0.00888094	0.000432763	1.141503	1.338809
204	-1529.494	-1888.509	359.0146	0.5163555	0.645659	0.344282	0.00959129	0.000467377	1.162426	1.231963
210	-1537.709	-1896.567	358.8585	0.6024979	0.60903	0.381559	0.00910906	0.000301662	1.297653	1.173571
216	-1527.43	-1886.093	358.6631	0.646175	0.859513	0.134742	0.00525031	0.000494274	1.511293	1.116561
222	-1530.265	-1888.911	358.6468	0.7270074	0.884371	0.107113	0.00817588	0.000339783	1.441965	1.116561
228	-1539.328	-1898.093	358.7652	0.6224979	0.78372	0.176956	0.038671	0.000652127	1.43414	1.116561
234	-1535.41	-1894.304	358.894	0.5199864	0.862379	0.115674	0.0217477	0.000199398	1.43414	1.096179
240	-1541.952	-1900.742	358.7897	0.5811325	0.751105	0.219527	0.0291011	0.000266819	1.463404	1.10715
246	-1521.816	-1880.904	359.0875	0.5152358	0.78925	0.171237	0.0391536	0.000358987	1.463404	0.8738932
252	-1524.49	-1883.154	358.6632	0.5152358	0.746179	0.203643	0.0495908	0.000587472	1.726522	1.042802
258	-1526.477	-1885.365	358.8882	0.5575585	0.743431	0.204167	0.0516484	0.000753513	1.669662	0.8120725
264	-1522.514	-1881.212	358.6974	0.63739	0.729904	0.180174	0.08753	0.00239226	1.825128	0.7444529
270	-1528.792	-1887.389	358.5976	0.6898207	0.811378	0.0834584	0.101214	0.00394956	1.608917	1.043514
